,,,
Plant Name,State,Latitude,Longitude
Northeast (IN),IN,38.021100,-87.517200
Butler-Warner Generation Plant,NC,35.098600,-78.829400
Manti Lower,UT,39.255911,-111.621491
Crawfordsville Power Plant,IN,40.048889,-86.899200
Peru (IN),IN,40.755100,-86.057500
Rensselaer City Light Plant,IN,40.939528,-87.154472
Whitewater Valley,IN,39.802800,-84.895300
Frank E Ratts,IN,38.520100,-87.266200
Dubuque,IA,42.503100,-90.658611
Lansing,IA,43.335900,-91.167500
Milton L Kapp,IA,41.808100,-90.233611
Ames Diesel Generating Station,IA,42.013319,-93.575416
Sixth Street,IA,41.984768,-91.668611
Iowa Hydro LLC,IA,42.069987,-90.697657
Marshalltown,IA,42.047400,-92.859444
Prairie Creek,IA,41.944039,-91.639167
Sutherland,IA,42.047333,-92.859444
Coralville GT,IA,41.671877,-91.563999
Riverside,IA,41.540000,-90.448100
Walter Scott Jr Energy Center,IA,41.180000,-95.840800
River Hills,IA,41.590218,-93.619499
George Neal North,IA,42.325170,-96.379710
Merl Parr,IA,43.056300,-92.693200
Burlington (IA),IA,40.741200,-91.116667
Centerville,IA,40.747800,-92.873056
Keokuk,IA,40.396500,-91.371900
Algona,IA,43.073300,-94.239200
Alta Municipal Utilities,IA,42.673600,-95.302600
Ames Electric Services Power Plant,IA,42.025800,-93.608900
Anita,IA,41.444224,-94.766474
Atlantic,IA,41.409000,-95.000000
Bancroft,IA,43.292628,-94.217075
Bellevue,IA,42.250000,-90.416700
Bloomfield,IA,40.703100,-92.425300
Brooklyn,IA,41.727800,-92.447900
Cascade,IA,42.298210,-91.011974
Gas Turbine (IA),IA,42.512000,-92.476000
Streeter Station,IA,42.526700,-92.439400
Coggon,IA,42.280827,-91.532705
Corning,IA,40.987100,-94.735200
Dayton (IA),IA,42.260162,-94.069243
Estherville,IA,43.402800,-94.843300
Forest City Light Plant,IA,43.263235,-93.635383
